Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
8/31/2017,92506,CA,Riverside,Riverside,Riverside,1661,2057,0.005376344,0.020337302,0.061951471,14815
8/31/2017,88310,NM,Alamogordo,Otero,Alamogordo,1662,897,-0.001113586,-0.004439512,0.045454545,10943
8/31/2017,94606,CA,San Francisco,Alameda,Oakland,1663,2896,0.010115103,0.027679205,0.069029162,6053
8/31/2017,92660,CA,Los Angeles-Long Beach-Anaheim,Orange,Newport Beach,1664,5998,-0.003985387,-0.005141815,0.083453757,11357
8/31/2017,33928,FL,Fort Myers,Lee,Estero,1665,2070,-0.00671785,-0.02173913,0.005342399,15449
8/31/2017,30126,GA,Atlanta,Cobb,Mableton,1666,1402,0.006460876,0.021121631,0.042379182,14339
8/31/2017,61820,IL,Champaign-Urbana,Champaign,Champaign,1667,984,-0.005055612,-0.015015015,-0.068181818,6201
8/31/2017,94025,CA,San Francisco,San Mateo,Menlo Park,1668,5347,-0.002983405,-0.001493931,-0.01437788,12757
8/31/2017,94107,CA,San Francisco,San Francisco,San Francisco,1669,4374,0.002751032,0.007369876,-0.027135231,10015
8/31/2017,46060,IN,Indianapolis,Hamilton,Noblesville,1670,1340,0.000746826,0,-0.002233805,13502
8/31/2017,76502,TX,Killeen,Bell,Temple,1671,1185,0,-0.008368201,-0.018227009,11941
8/31/2017,45385,OH,Dayton,Greene,Xenia,1672,983,0.011316872,0.014447884,0.052462527,13682
8/31/2017,95667,CA,Sacramento,El Dorado,Placerville,1673,1753,0.001142204,0.007471264,0.070861332,7335
8/31/2017,30680,GA,Atlanta,Barrow,Winder,1674,1201,0.008396306,0.026495726,0.071364853,12063
8/31/2017,17042,PA,Lebanon,Lebanon,Lebanon,1675,1098,-0.013477089,-0.009025271,0.055769231,11246
8/31/2017,85704,AZ,Tucson,Pima,Tucson,1676,1347,0.005974608,0.012781955,0.046620047,11036
8/31/2017,60605,IL,Chicago,Cook,Chicago,1677,1952,0.011398964,0.03774588,0.001539251,21536
8/31/2017,33610,FL,Tampa,Hillsborough,Tampa,1678,1146,0.002624672,0.001748252,0.045620438,10969
8/31/2017,21045,MD,Baltimore,Howard,Columbia,1679,2118,-0.001414427,-0.001885014,0.002366304,13076
8/31/2017,27530,NC,Goldsboro,Wayne,Goldsboro,1680,875,0.004592423,0.01039261,0.040428062,5878
8/31/2017,98503,WA,Olympia,Thurston,Lacey,1681,1528,0.006587615,0.031039136,0.093772369,11273
8/31/2017,49503,MI,Grand Rapids,Kent,Grand Rapids,1682,1266,0.003169572,0.020967742,0.062080537,12477
8/31/2017,22901,VA,Charlottesville,Albemarle,Charlottesville,1683,1584,-0.001261034,0.006993007,0.013435701,12503
8/31/2017,49221,MI,Adrian,Lenawee,Adrian Township,1684,960,0.008403361,0.028938907,0.051478642,12973
8/31/2017,36608,AL,Mobile,Mobile,Mobile,1685,1053,0,-0.001895735,-0.0131209,11131
8/31/2017,83501,ID,Lewiston,Nez Perce,Lewiston,1686,1234,0.007346939,0.025768911,0.074912892,11910
8/31/2017,87031,NM,Albuquerque,Valencia,Los Lunas,1687,942,0.00212766,0.003194888,-0.001060445,15642
8/31/2017,32566,FL,Pensacola,Santa Rosa,Navarre,1688,1371,0.004395604,0.009572901,0.021609538,14964
8/31/2017,55423,MN,Minneapolis-St Paul,Hennepin,Richfield,1689,1615,0.008114856,0.02735369,0.056245912,11680
8/31/2017,55119,MN,Minneapolis-St Paul,Ramsey,Saint Paul,1690,1426,-0.00209937,-0.00140056,0.029602888,10993
8/31/2017,27295,NC,Winston-Salem,Davidson,Lexington,1691,897,-0.003333333,-0.008839779,0.020477816,17104
8/31/2017,85033,AZ,Phoenix,Maricopa,Phoenix,1692,1055,0.012476008,0.034313725,0.02526725,12914
8/31/2017,90029,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1693,2963,0.00440678,0.012645249,0.046257062,2706
8/31/2017,90815,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Long Beach,1694,2739,0.002562225,0.008468336,0.06825273,12741
8/31/2017,95476,CA,Santa Rosa,Sonoma,Sonoma,1695,2683,0.001119403,0.007888805,0.040729247,11706
8/31/2017,97701,OR,Bend,Deschutes,Bend,1696,1796,0.001673173,0.008422235,0.046620047,22788
8/31/2017,93611,CA,Fresno,Fresno,Clovis,1697,1560,0.005154639,0.012329656,0.054766734,14356
8/31/2017,60563,IL,Chicago,Du Page,Naperville,1698,1900,0.001581444,-0.001576458,0.01986044,11086
8/31/2017,95136,CA,San Jose,Santa Clara,San Jose,1699,3369,0.000891266,0.005671642,-0.001777778,9973
8/31/2017,98223,WA,Seattle,Snohomish,Arlington,1700,1913,0.013241525,0.037418655,0.078354002,12944
8/31/2017,17050,PA,Harrisburg,Cumberland,Hampden Township,1701,1719,-0.006358382,0.009988249,-0.014334862,13060
8/31/2017,89128,NV,Las Vegas,Clark,Las Vegas,1702,1223,0.006584362,0.019166667,0.028595458,14504
8/31/2017,27516,NC,Durham,Orange,Chapel Hill,1703,1796,0.007291082,0.014689266,-0.003882418,13521
8/31/2017,30519,GA,Atlanta,Gwinnett,Buford,1704,1505,0.004002668,0.008037508,0.01826793,14443
8/31/2017,32259,FL,Jacksonville,Saint Johns,Fruit Cove,1705,1954,0.004110997,0.006697579,0.017178553,15271
8/31/2017,48047,MI,Detroit,Macomb,Chesterfield,1706,1366,0.008118081,0.050769231,0.036418816,15697
8/31/2017,22033,VA,Washington,Fairfax,Fairfax,1707,2277,0,0.003525782,-0.005676856,12770
8/31/2017,7753,NJ,New York,Monmouth,Neptune,1708,2111,0.005238095,0.020299662,0.027250608,12349
8/31/2017,94901,CA,San Francisco,Marin,San Rafael,1709,4316,-0.005529954,0.005591799,0.060963618,10576
8/31/2017,78574,TX,McAllen,Hidalgo,Mission,1710,1029,-0.012476008,-0.023719165,0.055384615,11272
8/31/2017,97303,OR,Salem,Marion,Keizer,1711,1586,0.000630915,0.01212508,0.095303867,10934
8/31/2017,38127,TN,Memphis,Shelby,Memphis,1712,646,0.001550388,0,-0.015243902,14672
8/31/2017,34746,FL,Orlando,Osceola,Kissimmee,1713,1391,0,0.00433213,0.035740879,17209
8/31/2017,95062,CA,Santa Cruz,Santa Cruz,Santa Cruz,1714,3123,0.006769826,0.015279584,0.018258885,10373
8/31/2017,27127,NC,Winston-Salem,Forsyth,Winston-Salem,1715,1026,0.00097561,0.005882353,0.00686948,14048
8/31/2017,14624,NY,Rochester,Monroe,Chili,1716,1439,-0.000694444,0.007703081,0.029327611,13090
8/31/2017,93311,CA,Bakersfield,Kern,Bakersfield,1717,1588,0,-0.002512563,-0.025766871,13800
8/31/2017,49203,MI,Jackson,Jackson,Jackson,1718,799,-0.012360939,-0.024420024,0.01653944,14595
8/31/2017,27105,NC,Winston-Salem,Forsyth,Winston-Salem,1719,783,0.002560819,0.010322581,0.007722008,12938
8/31/2017,32738,FL,Daytona Beach,Volusia,Deltona,1720,1187,0.006785411,0.011073254,0.037587413,16515
8/31/2017,32034,FL,Jacksonville,Nassau,Fernandina Beach,1721,1665,0.000600962,0.012773723,0.040625,18015
8/31/2017,85249,AZ,Phoenix,Maricopa,Chandler,1722,1880,0.001598295,0.012385568,0.041551247,15809
8/31/2017,33016,FL,Miami-Fort Lauderdale,Miami-Dade,Hialeah,1723,1538,-0.000649773,0.001302083,-0.001298701,14361
8/31/2017,77469,TX,Houston,Fort Bend,Richmond,1724,1606,-0.003103662,-0.006802721,-0.061367621,13554
8/31/2017,71854,AR,Texarkana,Miller,Texarkana,1725,911,0.006629834,0.032879819,-0.006543075,8354
8/31/2017,63114,MO,St. Louis,Saint Louis,Overland,1726,843,0.001187648,0.001187648,0.00476758,14504
8/31/2017,95926,CA,Chico,Butte,Chico,1727,1513,0.000661376,-0.004605263,0.029251701,9903
8/31/2017,20032,DC,Washington,District of Columbia,Washington,1728,1970,0.013374486,0.04787234,0.048430016,5318
8/31/2017,12601,NY,New York,Dutchess,Town of Poughkeepsie,1729,1623,-0.006731946,-0.006731946,0.004331683,9561
8/31/2017,64133,MO,Kansas City,Jackson,Raytown,1730,964,0.011542497,0.024442083,0.035445757,12993
8/31/2017,75044,TX,Dallas-Fort Worth,Dallas,Garland,1731,1542,0.006527415,0.018494055,0.008502289,12599
8/31/2017,34786,FL,Orlando,Orange,Windermere,1732,2310,0.00130039,-0.002590674,0.028495102,12924
8/31/2017,78217,TX,San Antonio,Bexar,San Antonio,1733,1255,0.004,0.008032129,0.01784266,8808
8/31/2017,70118,LA,New Orleans,Orleans,New Orleans,1734,1704,-0.016733987,-0.018998273,-0.036199095,8582
8/31/2017,46219,IN,Indianapolis,Marion,Indianapolis,1735,930,0.003236246,0.009771987,0.053227633,12582
8/31/2017,33611,FL,Tampa,Hillsborough,Tampa,1736,1495,0.00537996,0.018392371,0.070916905,13535
8/31/2017,74136,OK,Tulsa,Tulsa,Tulsa,1737,1311,-0.003799392,-0.003041825,-0.014285714,8092
8/31/2017,99504,AK,Anchorage,Anchorage,Anchorage,1738,1747,-0.001714286,-0.007386364,-0.026740947,12504
8/31/2017,32127,FL,Daytona Beach,Volusia,Port Orange,1739,1496,0.000668896,0.007407407,0.059490085,12231
8/31/2017,72703,AR,Fayetteville,Washington,Fayetteville,1740,1340,0.006761833,0.021341463,0.019011407,7457
8/31/2017,39047,MS,Jackson,Rankin,Brandon,1741,1460,-0.006126617,-0.018817204,-0.041365726,13874
8/31/2017,77406,TX,Houston,Fort Bend,Richmond,1742,1826,-0.001640241,-0.000547345,-0.066939193,13775
8/31/2017,19082,PA,Philadelphia,Delaware,Upper Darby Township,1743,1161,0.0078125,0.009565217,0.002590674,12077
8/31/2017,49508,MI,Grand Rapids,Kent,Kentwood,1744,1286,0.014996054,0.023070804,0.056696795,11374
8/31/2017,20148,VA,Washington,Loudoun,Ashburn,1745,2774,-0.002158273,0.003617945,0.039730135,14628
8/31/2017,38125,TN,Memphis,Shelby,Memphis,1746,1290,-0.000774593,-0.003861004,-0.02346707,11312
8/31/2017,1040,MA,Springfield,Hampden,Holyoke,1747,1426,-0.00349406,0.004225352,0.036337209,7665
8/31/2017,33428,FL,Miami-Fort Lauderdale,Palm Beach,Boca Raton,1748,2096,0.011095031,0.032512315,0.049574362,14499
8/31/2017,83642,ID,Boise City,Ada,Meridian,1749,1326,0.006069803,0.015313936,0.019215988,11649
8/31/2017,76522,TX,Killeen,Coryell,Copperas Cove,1750,844,0.00118624,0.003567182,-0.001183432,13515
8/31/2017,30134,GA,Atlanta,Douglas,Douglasville,1751,1105,0.007292616,0.014692378,0.047393365,14323
8/31/2017,84074,UT,Salt Lake City,Tooele,Tooele,1752,1327,0.003023432,0.009893455,0.052339413,12751
8/31/2017,95111,CA,San Jose,Santa Clara,San Jose,1753,3185,0.003465658,0.006955422,0.031411917,10349
8/31/2017,70808,LA,Baton Rouge,East Baton Rouge,Baton Rouge,1754,1587,-0.000629723,-0.008125,0.000630517,12380
8/31/2017,70458,LA,New Orleans,Saint Tammany,Slidell,1755,1303,-0.005343511,-0.015117158,-0.023970037,15933
8/31/2017,78413,TX,Corpus Christi,Nueces,Corpus Christi,1756,1584,0,-0.001261034,-0.017978921,10119
8/31/2017,84790,UT,St. George,Washington,Saint George,1757,1464,0.006185567,0.022346369,0.090096798,14933
8/31/2017,2472,MA,Boston,Middlesex,Watertown,1758,2386,-0.002508361,-0.012008282,0.006751055,11689
8/31/2017,43017,OH,Columbus,Franklin,Dublin,1759,2281,0.002637363,0.000877578,-0.037552743,13048
8/31/2017,87505,NM,Santa Fe,Santa Fe,Santa Fe,1760,1678,0.015738499,0.028816677,-0.064138316,14107
8/31/2017,38671,MS,Memphis,DeSoto,Southaven,1761,1112,0.005424955,0.009990917,0.006334842,10708
8/31/2017,45373,OH,Dayton,Miami,Troy,1762,886,-0.024229075,-0.086597938,-0.183410138,12333
8/31/2017,44105,OH,Cleveland,Cuyahoga,Cleveland,1763,788,0,0.003821656,0.034120735,14796
8/31/2017,7307,NJ,New York,Hudson,Jersey City,1764,2108,0.005725191,0.008130081,-0.02677747,9589
8/31/2017,78665,TX,Austin,Williamson,Round Rock,1765,1676,0,0.00539892,-0.00297442,12423
8/31/2017,60644,IL,Chicago,Cook,Chicago,1766,1426,0.002108222,0.009200283,-0.008344924,5520
8/31/2017,46203,IN,Indianapolis,Marion,Indianapolis,1767,774,0.001293661,0.0078125,0.034759358,14677
8/31/2017,62521,IL,Decatur,Macon,Decatur,1768,890,0.020642202,0.040935673,0.009070295,15461
8/31/2017,36301,AL,Dothan,Houston,Dothan,1769,836,-0.004761905,-0.002386635,0.032098765,10259
8/31/2017,48105,MI,Ann Arbor,Washtenaw,Ann Arbor,1770,2131,-0.013425926,-0.016612829,0.040527344,9942
8/31/2017,28411,NC,Wilmington,New Hanover,Wilmington,1771,1526,0.002628121,0.003947368,0.050964187,14900
8/31/2017,8902,NJ,New York,Middlesex,North Brunswick,1772,2164,0,0.004642526,0.055609756,10465
8/31/2017,80227,CO,Denver,Jefferson,Lakewood,1773,1993,0.003524673,0.009625127,0.010136847,11290
8/31/2017,50315,IA,Des Moines,Polk,Des Moines,1774,1087,0.001843318,-0.005489478,-0.025112108,11966
8/31/2017,46385,IN,Chicago,Porter,Valparaiso,1775,1560,-0.008264463,-0.014529375,0.032428855,16466
8/31/2017,91016,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Monrovia,1776,2537,0.001974724,0.006346688,0.034243783,10552
8/31/2017,8012,NJ,Philadelphia,Gloucester,Washington Township,1777,1708,-0.000585138,0.014251781,0.05237215,12269
8/31/2017,77060,TX,Houston,Harris,Houston,1778,1236,0,-0.002421308,0.00243309,4521
8/31/2017,93455,CA,Santa Maria-Santa Barbara,Santa Barbara,Santa Maria,1779,1917,0,-0.005189414,0.011609499,13484
8/31/2017,30165,GA,Rome,Floyd,Rome,1780,968,-0.013251784,-0.02320888,-0.052837573,10320
8/31/2017,93534,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Lancaster,1781,1577,0.009603073,0.032743942,0.125624554,9235
8/31/2017,53703,WI,Madison,Dane,Madison,1782,1475,-0.009402283,-0.010731053,0.010273973,7635
8/31/2017,10026,NY,New York,New York,New York,1783,3358,-0.001189768,0.00719856,-0.001486768,5670
8/31/2017,8094,NJ,Philadelphia,Gloucester,Monroe Township,1784,1708,0.01124926,0.034524531,0.001172333,13089
8/31/2017,90291,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1785,4840,0.004357751,-0.000825764,-0.037007561,8175
8/31/2017,59701,MT,Butte,Silver Bow,Butte,1786,799,-0.002496879,-0.019631902,-0.02679659,11776
8/31/2017,48310,MI,Detroit,Macomb,Sterling Heights,1787,1537,0.002609263,0.015862525,0.022621424,12791
8/31/2017,97222,OR,Portland,Clackamas,Milwaukie,1788,1848,0.01038819,0.034135422,0.066358915,10529
8/31/2017,78852,TX,Eagle Pass,Maverick,Eagle Pass,1789,1133,-0.004393673,-0.011343805,-0.009615385,11385
8/31/2017,91320,CA,Ventura,Ventura,Thousand Oaks,1790,3097,0.011430438,0.029245597,0.017745646,14081
8/31/2017,91606,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1791,2689,0.004857997,0.012806026,0.031849578,7377
8/31/2017,8360,NJ,Vineland,Cumberland,Vineland,1792,1291,0.003108003,0.013343799,0.033626902,11225
8/31/2017,12401,NY,Kingston,Ulster,Kingston,1793,1538,0.009848982,0.042711864,0.090780142,10669
8/31/2017,72450,AR,Paragould,Greene,Paragould,1794,936,0.002141328,0.006451613,-0.002132196,10961
8/31/2017,60090,IL,Chicago,Cook,Wheeling,1795,1567,0.002559181,0.00901481,-0.00571066,12521
8/31/2017,91764,CA,Riverside,San Bernardino,Ontario,1796,1891,0.001058761,0.012854847,0.062956717,10034
8/31/2017,70056,LA,New Orleans,Jefferson,Gretna,1797,1359,0.005177515,0.01266766,-0.008752735,9910
8/31/2017,7105,NJ,New York,Essex,Newark,1798,1528,-0.005208333,-0.012281836,-0.061425061,5092
8/31/2017,20785,MD,Washington,Prince Georges,Greater Landover,1799,1709,0.008259587,0.009450679,0.008854782,10099
8/31/2017,95762,CA,Sacramento,El Dorado,El Dorado Hills,1800,2759,0.003637686,0.012848752,0.060745867,13380
8/31/2017,22801,VA,Harrisonburg,Harrisonburg City,Harrisonburg,1801,1279,-0.01006192,-0.030326005,0.043230016,9670
8/31/2017,75165,TX,Dallas-Fort Worth,Ellis,Waxahachie,1802,1458,0.006906077,0.00621118,0.021008403,12269
8/31/2017,87401,NM,Farmington,San Juan,Farmington,1803,1090,0.007393715,0.000918274,-0.04886562,11570
8/31/2017,44512,OH,Youngstown,Mahoning,Boardman,1804,912,0.004405286,0.020134228,0.049482163,12479
8/31/2017,60653,IL,Chicago,Cook,Chicago,1805,1563,0,0.009038089,-0.001915709,6641
8/31/2017,53219,WI,Milwaukee,Milwaukee,Milwaukee,1806,1184,-0.004205214,0.008517888,-0.005042017,6623
8/31/2017,14225,NY,Buffalo,Erie,Cheektowaga,1807,1178,-0.008417508,-0.015050167,0.01464255,12187
8/31/2017,48126,MI,Detroit,Wayne,Dearborn,1808,1051,0.009606148,-0.004734848,0.04995005,12146
8/31/2017,97217,OR,Portland,Multnomah,Portland,1809,1969,0.002545825,0.012339332,0.026590198,12262
8/31/2017,33172,FL,Miami-Fort Lauderdale,Miami-Dade,Fountainbleau,1810,1579,0,-0.006293266,-0.003785489,13946
8/31/2017,53051,WI,Milwaukee,Waukesha,Menomonee Falls,1811,1592,-0.021511985,-0.04727708,-0.06627566,12428
8/31/2017,89436,NV,Reno,Washoe,Sparks,1812,1701,0.008896797,0.022850271,0.046769231,14451
8/31/2017,96826,HI,Urban Honolulu,Honolulu,Honolulu,1813,1970,0.002544529,0.004077472,0.009738596,9555
8/31/2017,63701,MO,Cape Girardeau,Cape Girardeau,Cape Girardeau,1814,926,0.004338395,0.001081081,0.039281706,15747
8/31/2017,2139,MA,Boston,Middlesex,Cambridge,1815,2655,0.006062903,0.014520443,0.007972665,10048
8/31/2017,27520,NC,Raleigh,Johnston,Clayton,1816,1247,0.000802568,0.003218021,0.033140017,13083
8/31/2017,90065,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1817,2919,0.002403846,0.01108417,0.076724456,9860
8/31/2017,83706,ID,Boise City,Ada,Boise,1818,1270,0.008737093,0.020080321,0.057452123,11837
8/31/2017,2130,MA,Boston,Suffolk,Boston,1819,2636,-0.00075815,-0.00075815,0.02368932,12144
8/31/2017,76107,TX,Dallas-Fort Worth,Tarrant,Fort Worth,1820,1489,0.006081081,0.004723347,0.01568895,10401
8/31/2017,34232,FL,North Port-Sarasota-Bradenton,Sarasota,Sarasota,1821,1591,0.002520479,0.001258653,0.001258653,14193
8/31/2017,62526,IL,Decatur,Macon,Decatur,1822,787,-0.002534854,-0.010062893,-0.017478152,11927
8/31/2017,92395,CA,Riverside,San Bernardino,Victorville,1823,1279,0.005503145,0.016693164,0.058774834,12097
8/31/2017,30152,GA,Atlanta,Cobb,Kennesaw,1824,1651,0.004869142,0.013505218,0.012883436,13902
8/31/2017,30038,GA,Atlanta,Dekalb,Lithonia,1825,1086,0.000921659,0.00742115,0.049275362,12474
8/31/2017,60409,IL,Chicago,Cook,Calumet City,1826,1291,0.003108003,0.003108003,-0.005392912,10731
8/31/2017,91423,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1827,3847,0.001822917,0.005226026,0.032197478,8743
8/31/2017,70605,LA,Lake Charles,Calcasieu,Lake Charles,1828,1555,-0.005118362,-0.041307028,-0.02507837,10387
8/31/2017,2138,MA,Boston,Middlesex,Cambridge,1829,2625,0.002290951,0.010003848,-0.002280502,10443
8/31/2017,92025,CA,San Diego,San Diego,Escondido,1830,2418,0.002487562,0.014261745,0.047660312,9322
8/31/2017,85302,AZ,Phoenix,Maricopa,Glendale,1831,1236,0.005695688,0.021487603,0.044801352,10999
8/31/2017,97230,OR,Portland,Multnomah,Portland,1832,1783,0.012492902,0.031231926,0.056279621,11206
8/31/2017,35630,AL,Florence,Lauderdale,Florence,1833,725,0.021126761,0.00554785,-0.055989583,10947
8/31/2017,95050,CA,San Jose,Santa Clara,Santa Clara,1834,3420,0.005291005,0.014535746,-0.009556907,8628
8/31/2017,33193,FL,Miami-Fort Lauderdale,Miami-Dade,Kendall West,1835,1843,0.002720348,0.007103825,0.005455537,16299
8/31/2017,33155,FL,Miami-Fort Lauderdale,Miami-Dade,Coral Terrace,1836,2255,0.002222222,0.006696429,-0.014853648,15527
8/31/2017,85120,AZ,Phoenix,Pinal,Apache Junction,1837,1062,0.010466223,0.023121387,0.043222004,5670
8/31/2017,17403,PA,York,York,York,1838,1126,0.007155635,0.016245487,0.023636364,13228
8/31/2017,33014,FL,Miami-Fort Lauderdale,Miami-Dade,Hialeah,1839,1802,-0.001108647,-0.003869541,0.005580357,11094
8/31/2017,28115,NC,Charlotte,Iredell,Mooresville,1840,1255,0.009654063,0.02365416,0.030377668,15517
